ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2923,Grouped Projects for Viet Nam Cookstove Program.,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,VMR0006,Registered,Viet Nam,"61,065",Asia,2022-11-25,2022-01-07,2032-01-06
2924,Grouped Projects for Laos Improved Cookstove,Sustainability Investment Promotion and Development Joint Stock Company,Energy demand,,VMR0006,Registered,Lao,"300,000",Asia,2023-09-14,2023-03-10,2033-03-09
2922,Improved Cookstoves for Communities,Outreach Projects Pvt. Ltd.,Energy demand,,VMR0006,Registered,India,"449,956",,2024-01-10,2021-11-20,2028-11-19
2908,Biomass Cookstove Project in Meghalaya,Multiple Proponents,Energy demand,,VMR0006,Registered,India,"44,163",Asia,2023-05-30,2021-04-01,2031-03-31
2913,Guizhou Yingxing CMM Power Generation Project,"Guizhou Jinyan Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"104,042",Asia,2022-10-03,2020-10-01,2030-09-30
2895,Guizhou Jinyan CMM Power Generation Project,"Guizhou Jinyan Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Mining/mineral production,,ACM0008,Registered,China,"160,655",Asia,2022-12-07,2020-10-01,2030-09-30
2886,Installation of high efficiency wood burning cookstoves in Malawi – Project 3,C-Quest Capital SGM ZM Stoves Private Limited,Energy demand,,VMR0006,Registered,Malawi,"1,470,813",Africa,2023-05-17,2022-03-16,2032-03-15
2888,Installation of high efficiency wood burning cookstoves in Mozambique – Project 2,C-Quest Capital SGM ZM Stoves Private Limited,Energy demand,,VMR0006,Registered,Mozambique,"861,165",Africa,2023-03-27,2021-06-22,2031-06-21
2890,Installation of high efficiency wood burning cookstoves in Zimbabwe - Project 2,C-Quest Capital SGM ZM Stoves Private Limited,Energy demand,,VMR0006,Registered,Zimbabwe,"868,550",Africa,2023-04-14,2021-10-14,2031-10-13
2880,"BINZHOU TOPIGS NORSVIN BREEDING SWINE CO., LTD. BINHAI SWINE FARM BIOGAS RECOVERY AND UTILIZATION PROJECT","Binzhou Topigs Norsvin Breeding Swine Co., Ltd. Binhai Branch","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.,Registered,China,"11,795",Asia,2022-12-28,2020-08-05,2027-08-04
2879,Henan Lehuijia Composting Project,"Henan Lehuijia Agricultural Technology Co., Ltd.","Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-III.D.; AMS-III.F.,Registered,China,"38,379",Asia,2023-01-19,2020-10-15,2030-10-14
2876,Muyuan WJZ AWMS GHG Mitigation Project in Henan Province,"Muyuan Foods Co., Ltd.","Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,ACM0010,Registered,China,"321,663",Asia,2023-05-09,2020-07-15,2030-07-14
